frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
30,0,0.000,0.98,1,0.42,0.00,0.36,0.00,0.69,1.24,0.46,1.24,1.86,0.97,0.05,0.94,0.19,0.21,0.14,0.00,2.08,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
31,0,0.000,0.98,1,0.25,0.00,0.74,0.00,1.35,2.58,0.99,1.46,1.98,1.10,0.13,0.50,0.50,0.39,0.17,0.00,2.10,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
32,0,0.000,0.98,1,0.00,0.00,0.94,0.00,2.06,3.86,1.51,1.61,2.04,1.17,0.18,0.09,0.70,0.58,0.39,0.00,1.96,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
33,0,0.000,0.98,1,0.00,0.00,0.65,0.00,1.84,2.78,1.17,1.34,1.82,0.80,0.34,0.77,0.75,0.79,0.26,0.00,1.35,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
34,0,0.000,0.77,1,0.08,0.00,0.27,0.00,1.46,1.75,0.82,0.84,1.50,0.41,0.26,1.05,0.87,0.62,0.39,0.00,1.70,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
35,0,0.000,0.98,1,0.24,0.00,0.07,0.00,1.06,0.93,0.37,0.33,1.24,0.00,0.21,1.08,1.25,0.42,0.36,0.00,2.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
36,0,0.000,0.98,1,0.24,0.00,0.00,0.00,1.09,1.16,0.25,0.59,1.76,0.43,0.01,0.55,1.01,0.00,0.94,0.02,2.38,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
37,0,0.000,0.98,1,0.17,0.00,0.00,0.00,1.37,1.16,0.08,1.24,2.30,0.88,0.13,0.63,0.59,0.12,1.30,0.25,1.34,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
38,0,0.000,0.93,1,0.00,0.00,0.00,0.00,1.37,0.88,0.00,1.54,2.81,1.38,0.19,0.65,0.00,0.13,1.66,0.25,0.39,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0,0.000,0.98,1,0.00,0.00,0.01,0.00,1.40,1.36,0.26,1.31,2.51,1.44,0.18,0.79,0.00,0.14,1.08,0.23,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
40,0,0.000,0.93,1,0.00,0.00,0.01,0.00,1.37,1.80,0.57,0.96,2.34,1.64,0.14,0.86,0.00,0.02,0.56,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
41,0,0.000,0.88,1,0.00,0.00,0.03,0.00,1.56,2.58,0.91,0.90,2.04,1.64,0.09,1.25,0.00,0.09,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
