frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
27,0,0.000,0.98,1,0.61,0.00,0.00,0.00,2.09,1.57,0.00,1.14,2.61,1.10,0.00,0.44,0.33,0.00,0.97,0.90,0.68,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
28,0,0.000,0.98,1,0.48,0.00,0.00,0.00,1.07,0.89,0.00,1.04,2.10,0.91,0.00,0.88,0.12,0.00,0.61,0.45,1.31,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
29,0,0.000,0.98,1,0.47,0.00,0.00,0.00,0.00,0.17,0.00,1.01,1.68,0.84,0.00,1.33,0.00,0.00,0.05,0.00,2.06,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
30,0,0.000,0.98,1,0.32,0.00,0.36,0.00,0.69,1.24,0.45,1.24,1.86,0.97,0.11,0.94,0.20,0.19,0.15,0.00,1.95,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
31,0,0.000,0.98,1,0.20,0.00,0.74,0.00,1.35,2.58,0.96,1.46,1.98,1.10,0.24,0.50,0.51,0.35,0.20,0.00,1.98,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
32,0,0.000,0.98,1,0.00,0.00,0.94,0.00,2.06,3.86,1.47,1.61,2.04,1.17,0.36,0.09,0.72,0.53,0.45,0.00,1.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
33,0,0.000,0.98,1,0.11,0.00,0.58,0.00,1.38,2.65,1.02,1.09,1.77,1.04,0.25,0.08,0.66,0.34,0.41,0.41,1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
34,0,0.000,0.93,1,0.34,0.00,0.20,0.00,0.71,1.27,0.51,0.62,1.55,0.92,0.12,0.32,0.46,0.19,0.66,1.19,1.62,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
35,0,0.000,0.98,1,0.58,0.02,0.01,0.00,0.00,0.00,0.00,0.05,1.29,0.73,0.00,0.43,0.41,0.02,0.64,1.76,1.52,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
36,0,0.000,0.98,1,0.47,0.02,0.01,0.00,0.50,0.37,0.00,0.56,1.86,0.92,0.07,0.59,0.27,0.02,1.13,1.35,1.42,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
37,0,0.000,0.98,1,0.24,0.02,0.00,0.00,1.06,0.71,0.00,1.18,2.30,1.09,0.25,0.71,0.16,0.11,1.37,0.71,0.86,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
38,0,0.000,0.93,1,0.00,0.00,0.00,0.00,1.37,0.88,0.00,1.54,2.81,1.38,0.37,0.65,0.00,0.11,1.72,0.15,0.35,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0,0.000,0.98,1,0.00,0.00,0.01,0.00,1.40,1.36,0.25,1.31,2.51,1.44,0.36,0.79,0.00,0.11,1.11,0.15,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
40,0,0.000,0.93,1,0.00,0.00,0.01,0.00,1.37,1.80,0.55,0.96,2.34,1.64,0.31,0.86,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
41,0,0.000,0.88,1,0.00,0.00,0.03,0.00,1.56,2.58,0.87,0.90,2.04,1.64,0.27,1.25,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
42,0,0.000,0.88,1,0.58,0.09,0.13,0.00,1.41,1.73,0.62,1.41,1.78,2.21,0.38,1.90,0.46,0.35,0.11,0.44,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43,0,0.000,0.98,1,1.17,0.09,0.13,0.00,1.14,0.95,0.32,1.83,1.49,2.39,0.41,2.37,0.79,0.52,0.33,0.79,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
44,0,0.000,0.98,1,1.60,0.09,0.10,0.31,0.65,0.00,0.00,2.25,1.19,2.34,0.34,3.21,0.79,0.77,0.36,1.20,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
45,0,0.000,0.98,1,1.02,0.00,0.00,0.31,0.47,0.40,0.00,1.47,1.25,1.46,0.16,2.22,0.33,0.49,0.44,0.76,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
46,0,0.000,0.98,1,0.43,0.00,0.00,0.31,0.41,0.85,0.00,0.73,1.31,0.81,0.00,1.31,0.00,0.32,0.37,0.41,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
47,0,0.000,0.98,1,0.00,0.00,0.00,0.00,0.56,1.33,0.00,0.00,1.40,0.58,0.00,0.05,0.00,0.00,0.40,0.02,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,0,0.000,0.98,1,0.00,0.00,0.22,0.00,0.77,1.15,0.00,0.00,1.51,0.52,0.00,0.49,0.00,0.00,0.20,0.02,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,0,0.000,0.88,1,0.00,0.00,0.28,0.00,1.04,1.02,0.00,0.00,1.71,0.63,0.00,0.78,0.00,0.00,0.06,0.02,0.06,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,0,0.000,0.93,1,0.00,0.00,0.34,0.00,1.29,0.93,0.00,0.00,1.88,0.40,0.00,1.01,0.03,0.05,0.00,0.00,0.06,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
51,0,0.000,0.93,1,0.00,0.00,0.13,0.00,1.53,1.07,0.09,0.40,1.99,0.53,0.00,1.36,0.93,0.31,0.21,0.23,0.06,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
52,0,0.000,0.98,1,0.00,0.00,0.07,0.00,1.76,1.13,0.21,0.81,2.01,0.49,0.00,1.87,1.91,0.62,0.36,0.48,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
53,0,0.000,0.98,1,0.00,0.00,0.00,0.00,2.01,0.99,0.28,1.17,2.14,0.76,0.00,2.40,2.87,0.85,0.52,0.68,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
54,0,0.000,0.98,1,0.16,0.00,0.00,0.00,1.53,0.62,0.25,1.32,2.13,0.78,0.42,1.83,1.97,0.59,0.75,0.60,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
