frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,kmeans_cluster,dbscan_cluster,pc1,pc2
151,0,0.0,0.98,1,0.0,0.02,0.11,0.12,1.75,0.83,0.63,1.33,2.35,0.82,0.0,0.78,0.0,0.0,0.63,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,1.2249830018934793,-0.28922751631064364
152,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.83,1.11,0.84,1.34,2.29,1.06,0.0,0.64,0.0,0.0,0.74,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,1.7797051472917718,-0.21960756104512139
153,0,0.0,0.98,1,0.28,0.48,0.0,0.04,1.6,1.05,0.61,1.39,2.16,0.9,0.0,0.61,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,0.9807632827308247,-0.012930988667192292
154,0,0.0,0.93,1,0.63,0.85,0.0,0.09,1.36,1.03,0.35,1.47,2.05,0.69,0.0,0.55,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0.24574721942130523,0.19689630003050035
155,0,0.0,0.93,1,0.63,0.85,0.07,0.09,1.13,1.29,0.27,1.47,1.73,0.31,0.0,0.33,0.0,0.0,1.18,0.28,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1,0.01744032845845114,-0.1411406920016067
156,0,0.0,0.93,1,0.36,0.37,0.07,0.04,1.31,1.37,0.22,1.22,1.95,0.45,0.0,0.43,0.0,0.04,0.89,0.77,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,0.4518372028865563,-0.692173010301049
157,0,0.0,0.93,1,0.0,0.0,0.07,0.0,1.4,1.2,0.19,0.9,2.12,0.67,0.0,0.55,0.0,0.04,0.52,1.28,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,0.6990675704483299,-1.2834578118854978
158,0,0.0,0.93,1,0.0,0.0,0.01,0.0,1.47,0.74,0.0,0.69,2.48,0.98,0.0,0.8,0.0,0.09,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,0.39879926914044556,-1.3457386155858166
159,0,0.0,0.93,1,0.0,0.0,0.0,0.18,1.52,0.36,0.0,0.53,1.99,0.65,0.25,1.07,0.61,0.73,0.0,1.62,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,-0.8852495665667054,-0.9354455069041321
160,0,0.0,0.98,1,0.07,0.0,0.0,0.57,1.58,0.19,0.0,0.37,1.49,0.3,0.64,1.39,1.26,1.46,0.0,1.88,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-1,-2.5415818821173506,-0.09460560023721339
161,0,0.0,0.98,1,0.66,0.48,0.08,0.57,1.1,0.0,0.0,0.11,0.69,0.48,0.64,1.94,1.26,1.61,0.0,1.83,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-1,-4.039362568663784,0.2646087591071837
162,0,0.0,0.88,1,0.66,0.48,0.08,0.39,0.8,0.0,0.0,0.37,0.71,0.74,0.45,1.72,0.97,0.92,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-1,-3.186307396404756,-0.31651059810821996
163,0,0.0,0.98,1,0.63,0.48,0.08,0.0,0.72,0.03,0.0,0.65,0.91,1.03,0.06,1.55,0.48,0.2,0.0,0.44,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.722943542408658,-1.1411679684768201
164,0,0.0,0.98,1,0.05,0.0,0.0,0.0,1.12,0.03,0.0,1.07,1.5,1.01,0.16,1.11,0.59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.33147692500690584,-1.32289864459932
165,0,0.0,0.98,1,0.35,0.08,0.0,0.11,0.85,0.5,0.0,0.72,1.13,0.76,0.1,1.14,0.27,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0598909981176292,-1.6161229839642863
166,0,0.0,0.98,1,0.51,0.31,0.0,0.15,0.41,0.72,0.0,0.43,0.58,0.47,0.09,1.09,0.11,0.14,0.0,1.43,0.08,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-2.029916274069029,-1.9455227672284583
167,0,0.0,0.98,1,0.66,0.55,0.0,0.28,0.0,0.84,0.0,0.0,0.0,0.0,0.0,1.07,0.03,0.4,0.0,2.15,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-3.289784638281562,-2.3263735968755213
168,0,0.0,0.98,1,0.71,0.47,0.64,0.18,0.0,0.37,0.0,0.68,0.34,0.81,0.46,1.69,0.03,1.0,0.0,1.91,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-3.3606111147181217,-0.486371223541668
169,0,0.0,0.98,1,0.95,0.24,1.28,0.13,0.0,0.13,0.0,1.38,0.7,1.54,1.01,2.42,0.03,1.53,0.0,1.64,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1,-3.5017604990553335,1.4113864212743366
170,0,0.0,0.98,1,1.11,0.0,1.77,0.0,0.0,0.0,0.0,2.04,1.06,2.21,1.45,3.11,0.0,1.79,0.0,1.24,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1,-3.2727027502326793,2.835738380357469
171,0,0.0,0.98,1,1.94,0.56,1.13,0.4,0.0,0.1,0.0,1.66,1.14,1.4,0.99,2.38,0.0,1.19,0.74,1.62,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1,-3.839019807090673,2.662609353011032
172,0,0.0,0.98,1,2.63,1.13,0.49,0.95,0.0,0.39,0.0,1.22,1.2,0.74,0.44,1.49,0.04,0.52,1.32,1.81,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-4.30079014219332,2.443775962985155
173,0,0.0,0.98,1,3.34,1.49,0.0,1.25,0.03,0.76,0.0,0.96,1.31,0.26,0.0,0.62,0.09,0.0,1.77,1.69,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-4.306916836694134,2.163861060002683
174,0,0.0,0.98,1,2.54,0.93,0.09,0.85,0.03,0.67,0.0,0.66,0.99,0.26,0.43,1.1,0.09,0.0,1.03,0.85,0.34,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-3.9296099736514307,0.699698711323362
175,0,0.0,0.93,1,1.82,0.36,0.18,0.3,0.03,0.38,0.0,0.4,0.68,0.19,0.68,1.37,0.05,0.0,0.45,0.2,0.61,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1,-3.2886978335347465,-1.0184101220103088
176,0,0.0,0.98,1,1.29,0.0,0.27,0.0,0.0,0.01,0.0,0.0,0.35,0.0,1.02,1.76,0.0,0.0,0.0,0.0,1.01,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1,-3.3809888737564453,-2.2578215649938755
177,0,0.0,0.98,1,1.52,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.43,0.0,1.03,1.66,0.0,0.0,0.0,0.0,1.21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1,-3.3829216826020683,-2.1912587167191413
