frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,kmeans_cluster,dbscan_cluster,pc1,pc2
27,0,0.0,0.98,1,0.76,0.0,0.0,0.0,2.09,1.57,0.0,1.14,2.61,1.1,0.0,0.44,0.32,0.0,0.91,1.06,0.72,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2,-1,1.5846760720954225,-0.28207316402182536
28,0,0.0,0.98,1,0.63,0.0,0.0,0.0,1.07,0.89,0.0,1.04,2.1,0.91,0.0,0.88,0.12,0.0,0.57,0.53,1.39,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,-1,0.46880590390620114,-1.043557709806917
29,0,0.0,0.98,1,0.62,0.0,0.0,0.0,0.0,0.17,0.0,1.01,1.68,0.84,0.0,1.33,0.0,0.0,0.03,0.0,2.19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,-1,-0.6573667307590951,-1.7244019894539349
30,0,0.0,0.98,1,0.42,0.0,0.36,0.0,0.69,1.24,0.46,1.24,1.86,0.97,0.05,0.94,0.19,0.21,0.14,0.0,2.08,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,-1,0.6429847116699281,-0.9505989265196648
31,0,0.0,0.98,1,0.25,0.0,0.74,0.0,1.35,2.58,0.99,1.46,1.98,1.1,0.13,0.5,0.5,0.39,0.17,0.0,2.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,-1,2.039004160222462,-0.22969656333093744
32,0,0.0,0.98,1,0.0,0.0,0.94,0.0,2.06,3.86,1.51,1.61,2.04,1.17,0.18,0.09,0.7,0.58,0.39,0.0,1.96,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,-1,3.4115460663417494,0.4360249083759499
33,0,0.0,0.98,1,0.0,0.0,0.65,0.0,1.84,2.78,1.17,1.34,1.82,0.8,0.34,0.77,0.75,0.79,0.26,0.0,1.35,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,-1,1.7765020613141485,0.13166266015784725
34,0,0.0,0.77,1,0.08,0.0,0.27,0.0,1.46,1.75,0.82,0.84,1.5,0.41,0.26,1.05,0.87,0.62,0.39,0.0,1.7,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,-1,0.6635282382837765,-0.8872465892822444
35,0,0.0,0.98,1,0.24,0.0,0.07,0.0,1.06,0.93,0.37,0.33,1.24,0.0,0.21,1.08,1.25,0.42,0.36,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,-1,-0.41753872764297967,-2.0449847165171535
36,0,0.0,0.98,1,0.24,0.0,0.0,0.0,1.09,1.16,0.25,0.59,1.76,0.43,0.01,0.55,1.01,0.0,0.94,0.02,2.38,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,-1,0.8776284921589789,-1.8205560610285387
37,0,0.0,0.98,1,0.17,0.0,0.0,0.0,1.37,1.16,0.08,1.24,2.3,0.88,0.13,0.63,0.59,0.12,1.3,0.25,1.34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1,1.3081170997459357,-0.5101284464711364
38,0,0.0,0.93,1,0.0,0.0,0.0,0.0,1.37,0.88,0.0,1.54,2.81,1.38,0.19,0.65,0.0,0.13,1.66,0.25,0.39,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1,1.6078750034604221,0.34627131630772434
39,0,0.0,0.98,1,0.0,0.0,0.01,0.0,1.4,1.36,0.26,1.31,2.51,1.44,0.18,0.79,0.0,0.14,1.08,0.23,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1,1.4370104463903974,0.06614572514853949
40,0,0.0,0.93,1,0.0,0.0,0.01,0.0,1.37,1.8,0.57,0.96,2.34,1.64,0.14,0.86,0.0,0.02,0.56,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,1.5431818020993768,-0.31527262056212646
41,0,0.0,0.88,1,0.0,0.0,0.03,0.0,1.56,2.58,0.91,0.9,2.04,1.64,0.09,1.25,0.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,1.636811238269723,-0.35358396146604265
42,0,0.0,0.88,1,0.63,0.18,0.13,0.0,1.41,1.73,0.65,1.41,1.78,2.21,0.21,1.9,0.45,0.39,0.1,0.52,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,0.5910430133415924,1.017304132344075
43,0,0.0,0.98,1,1.27,0.18,0.13,0.0,1.14,0.95,0.33,1.83,1.49,2.39,0.23,2.38,0.78,0.57,0.3,0.95,0.01,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,-0.4134931114664749,1.7519224087759306
44,0,0.0,0.98,1,1.75,0.23,0.1,0.25,0.65,0.0,0.0,2.25,1.19,2.34,0.22,3.21,0.78,0.81,0.3,1.44,0.01,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-2.1581494128696597,2.6037504383211223
45,0,0.0,0.98,1,1.12,0.05,0.0,0.25,0.47,0.4,0.0,1.47,1.25,1.46,0.1,2.22,0.33,0.52,0.39,0.98,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.7236278433223826,0.5711872154589926
46,0,0.0,0.98,1,0.48,0.05,0.0,0.25,0.41,0.85,0.0,0.73,1.31,0.81,0.0,1.31,0.0,0.34,0.31,0.61,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.3470046273852756,-1.1011147787118933
47,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.56,1.33,0.0,0.0,1.4,0.58,0.0,0.05,0.0,0.0,0.35,0.23,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.22239150856606588,-2.837228819533732
48,0,0.0,0.98,1,0.0,0.0,0.22,0.0,0.77,1.15,0.0,0.0,1.51,0.52,0.0,0.49,0.0,0.0,0.17,0.23,0.04,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.3519913466105585,-2.6903709350352085
49,0,0.0,0.88,1,0.0,0.0,0.28,0.0,1.04,1.02,0.0,0.0,1.71,0.63,0.0,0.78,0.0,0.0,0.04,0.17,0.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.23650730660914518,-2.460917381443934
50,0,0.0,0.93,1,0.0,0.0,0.34,0.0,1.29,0.93,0.0,0.0,1.88,0.4,0.0,1.01,0.02,0.07,0.0,0.06,0.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.27690268495550785,-2.3690567160344917
51,0,0.0,0.93,1,0.0,0.0,0.13,0.0,1.53,1.07,0.11,0.4,1.99,0.53,0.0,1.36,0.92,0.35,0.19,0.31,0.11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1,-0.006561875258844302,-1.4929735821702144
52,0,0.0,0.98,1,0.0,0.0,0.07,0.0,1.76,1.13,0.24,0.81,2.01,0.49,0.0,1.87,1.89,0.66,0.32,0.64,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1,0.02718414671165825,-0.6526022624527296
53,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.01,0.99,0.31,1.17,2.14,0.76,0.0,2.4,2.86,0.9,0.47,0.92,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0.18866970137548106,0.3002101886353013
54,0,0.0,0.98,1,0.35,0.08,0.0,0.0,1.36,0.62,0.21,0.79,1.74,0.51,0.34,2.0,1.96,0.62,0.27,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.961142977913468,-0.5025755308633331
55,0,0.0,0.98,1,0.8,0.21,0.0,0.08,0.67,0.25,0.08,0.45,1.39,0.27,0.39,1.35,0.99,0.31,0.15,0.71,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.9875876903413447,-1.327863025874082
56,0,0.0,0.98,1,1.23,0.21,0.0,0.08,0.23,0.0,0.0,0.72,1.34,0.41,0.73,0.82,0.0,0.0,0.32,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-2.248499386284662,-1.1665729090835697
57,0,0.0,0.88,1,1.28,0.13,0.52,0.08,0.54,0.93,0.39,0.99,1.15,0.88,0.39,0.42,0.0,0.0,0.32,0.41,0.67,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.8054036180854064,-0.822161276784987
58,0,0.0,0.82,1,1.21,0.0,1.19,0.0,0.94,2.29,0.91,1.29,0.95,1.33,0.33,0.28,0.0,0.0,0.31,0.07,1.26,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,0.8122920071989099,-0.30483539069790905
59,0,0.0,0.98,1,0.79,0.0,1.77,0.0,1.71,2.75,1.12,1.3,1.06,1.52,0.0,0.0,0.05,0.0,0.62,0.11,1.26,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,2.206783466147965,-0.04340328042353909
